user_id,journey_length,converted,revenue
U000000,1,0,0.0
U000001,1,0,0.0
U000002,1,0,0.0
U000003,2,0,0.0
U000004,2,0,0.0
U000005,1,0,0.0
U000006,1,0,0.0
U000007,2,0,0.0
U000008,3,0,0.0
U000009,2,0,0.0
U000010,2,0,0.0
U000011,3,0,0.0
U000012,3,0,0.0
U000013,4,0,0.0
U000014,5,0,0.0
U000015,3,0,0.0
U000016,2,0,0.0
U000017,2,0,0.0
U000018,2,0,0.0
U000019,2,1,4544.66
U000020,2,1,1825.12
U000021,2,0,0.0
U000022,2,0,0.0
U000023,1,1,2586.91
U000024,1,0,0.0
U000025,1,1,3864.37
U000026,4,0,0.0
U000027,3,0,0.0
U000028,1,0,0.0
U000029,4,1,2609.12
U000030,2,0,0.0
U000031,2,0,0.0
U000032,4,0,0.0
U000033,5,0,0.0
U000034,2,0,0.0
U000035,1,0,0.0
U000036,2,0,0.0
U000037,3,0,0.0
U000038,1,0,0.0
U000039,3,0,0.0
U000040,1,0,0.0
U000041,2,0,0.0
U000042,3,0,0.0
U000043,2,0,0.0
U000044,2,0,0.0
U000045,5,0,0.0
U000046,2,0,0.0
U000047,3,0,0.0
U000048,2,0,0.0
U000049,2,0,0.0
U000050,2,0,0.0
U000051,1,0,0.0
U000052,3,0,0.0
U000053,3,0,0.0
U000054,5,1,2019.43
U000055,1,0,0.0
U000056,1,0,0.0
U000057,4,0,0.0
U000058,1,1,3675.46
U000059,2,0,0.0
U000060,1,0,0.0
U000061,3,0,0.0
U000062,5,1,3766.65
U000063,1,0,0.0
U000064,4,0,0.0
U000065,4,0,0.0
U000066,1,0,0.0
U000067,1,0,0.0
U000068,1,0,0.0
U000069,5,1,1089.37
U000070,1,0,0.0
U000071,3,0,0.0
U000072,3,0,0.0
U000073,3,0,0.0
U000074,5,0,0.0
U000075,3,0,0.0
U000076,5,1,1829.05
U000077,2,0,0.0
U000078,2,0,0.0
U000079,2,0,0.0
U000080,2,1,6689.32
U000081,5,1,1673.0
U000082,1,0,0.0
U000083,5,0,0.0
U000084,2,0,0.0
U000085,1,0,0.0
U000086,2,0,0.0
U000087,3,1,3867.62
