user_id,touch_order,journey_length,channel,timestamp,cost,converted,revenue
U000000,1,1,Referral,2025-02-05 00:00:00,0.0,0,0.0
U000001,1,1,Paid Social,2025-03-05 00:00:00,13.06,0,0.0
U000002,1,1,Direct,2025-03-01 00:00:00,0.0,0,0.0
U000003,1,2,Direct,2025-01-19 00:00:00,0.0,0,0.0
U000003,2,2,Referral,2025-01-19 09:41:53,0.0,0,0.0
U000004,1,2,Referral,2025-02-05 00:00:00,0.0,0,0.0
U000004,2,2,Referral,2025-02-05 06:55:39,0.0,0,0.0
U000005,1,1,Referral,2025-01-07 00:00:00,0.0,0,0.0
U000006,1,1,Referral,2025-01-01 00:00:00,0.0,0,0.0
U000007,1,2,Referral,2025-01-31 00:00:00,0.0,0,0.0
U000007,2,2,Paid Search,2025-01-31 06:13:35,14.12,0,0.0
U000008,1,3,Organic Search,2025-03-21 00:00:00,0.0,0,0.0
U000008,2,3,Organic Search,2025-03-22 04:35:38,0.0,0,0.0
U000008,3,3,Paid Search,2025-03-22 09:27:01,30.99,0,0.0
U000009,1,2,Paid Search,2025-01-26 00:00:00,32.51,0,0.0
U000009,2,2,Paid Social,2025-01-26 07:18:11,7.8,0,0.0
U000010,1,2,Paid Social,2025-02-27 00:00:00,10.22,0,0.0
U000010,2,2,Email,2025-02-28 08:39:18,0.0,0,0.0
U000011,1,3,Referral,2025-03-08 00:00:00,0.0,0,0.0
U000011,2,3,Display,2025-03-08 01:41:04,2.28,0,0.0
U000011,3,3,Direct,2025-03-10 15:56:20,0.0,0,0.0
U000012,1,3,Display,2025-02-25 00:00:00,3.1,0,0.0
U000012,2,3,Direct,2025-02-25 20:06:40,0.0,0,0.0
U000012,3,3,Referral,2025-02-27 04:43:20,0.0,0,0.0
U000013,1,4,Paid Social,2025-03-07 00:00:00,16.02,0,0.0
U000013,2,4,Email,2025-03-07 07:35:25,0.0,0,0.0
U000013,3,4,Display,2025-03-07 23:19:38,2.6,0,0.0
U000013,4,4,Paid Search,2025-03-08 15:29:25,16.83,0,0.0
U000014,1,5,Organic Search,2025-03-03 00:00:00,0.0,0,0.0
U000014,2,5,Display,2025-03-03 11:33:11,4.96,0,0.0
U000014,3,5,Paid Search,2025-03-04 11:00:38,30.02,0,0.0
U000014,4,5,Referral,2025-03-05 11:55:50,0.0,0,0.0
U000014,5,5,Paid Search,2025-03-05 15:11:57,21.12,0,0.0
U000015,1,3,Paid Social,2025-03-21 00:00:00,11.72,0,0.0
U000015,2,3,Referral,2025-03-21 11:41:35,0.0,0,0.0
U000015,3,3,Direct,2025-03-22 15:40:32,0.0,0,0.0
U000016,1,2,Paid Social,2025-02-19 00:00:00,4.68,0,0.0
U000016,2,2,Email,2025-02-19 21:54:44,0.0,0,0.0
U000017,1,2,Organic Search,2025-01-01 00:00:00,0.0,0,0.0
U000017,2,2,Paid Search,2025-01-02 06:49:10,19.88,0,0.0
U000018,1,2,Paid Social,2025-03-21 00:00:00,13.12,0,0.0
U000018,2,2,Direct,2025-03-23 17:04:08,0.0,0,0.0
U000019,1,2,Paid Social,2025-03-20 00:00:00,5.78,1,0.0
U000019,2,2,Paid Search,2025-03-20 04:10:04,44.68,1,4544.66
U000020,1,2,Organic Search,2025-02-24 00:00:00,0.0,1,0.0
U000020,2,2,Referral,2025-02-24 11:05:24,0.0,1,1825.12
U000021,1,2,Referral,2025-02-09 00:00:00,0.0,0,0.0
U000021,2,2,Email,2025-02-10 09:11:49,0.0,0,0.0
U000022,1,2,Paid Social,2025-02-26 00:00:00,5.33,0,0.0
U000022,2,2,Referral,2025-02-26 08:44:00,0.0,0,0.0
U000023,1,1,Email,2025-02-08 00:00:00,0.0,1,2586.91
U000024,1,1,Direct,2025-03-13 00:00:00,0.0,0,0.0
U000025,1,1,Direct,2025-03-06 00:00:00,0.0,1,3864.37
U000026,1,4,Referral,2025-01-18 00:00:00,0.0,0,0.0
U000026,2,4,Paid Social,2025-01-20 12:26:42,8.52,0,0.0
U000026,3,4,Direct,2025-01-20 15:13:00,0.0,0,0.0
U000026,4,4,Direct,2025-01-22 22:31:46,0.0,0,0.0
U000027,1,3,Paid Social,2025-02-23 00:00:00,12.61,0,0.0
U000027,2,3,Paid Search,2025-02-24 06:14:33,23.23,0,0.0
U000027,3,3,Organic Search,2025-02-25 11:11:46,0.0,0,0.0
U000028,1,1,Organic Search,2025-01-20 00:00:00,0.0,0,0.0
U000029,1,4,Display,2025-02-05 00:00:00,3.8,1,0.0
U000029,2,4,Paid Social,2025-02-05 01:52:03,12.23,1,0.0
U000029,3,4,Paid Social,2025-02-06 17:11:49,14.35,1,0.0
U000029,4,4,Paid Search,2025-02-08 01:33:03,28.57,1,2609.12
U000030,1,2,Display,2025-03-10 00:00:00,1.6,0,0.0
U000030,2,2,Paid Search,2025-03-10 14:10:59,41.72,0,0.0
U000031,1,2,Display,2025-01-08 00:00:00,2.93,0,0.0
U000031,2,2,Referral,2025-01-08 18:29:02,0.0,0,0.0
U000032,1,4,Direct,2025-03-15 00:00:00,0.0,0,0.0
